id,name,country,category,url,logo
cc11,כאן 11 (כתוביות),il,tv,https://n-121-6.il.cdn-redge.media/livehls/oil/kancdn-live/live/kan11_subs/live.livx/playlist.m3u8?dvr=28800000,
cc12,קשת 12 (כתוביות),il,tv,https://d2249b6f08tjt0.cloudfront.net/k12cc/index.m3u8,
cc13,רשת 13 (כתוביות),il,tv,https://d198ztbnlup2iq.cloudfront.net/out/v1/850e31c0e6fa4d94a44d6ccd63e4b400/index.m3u8,
ch09,ישראל פלוס,il,tv,https://contact.gostreaming.tv/Con-11/index.m3u8,
ch10,ערוץ הכלכלה,il,tv,https://n-121-11.il.cdn-redge.media/livehls/oil/calcala-live/live/channel10/live.livx/playlist.m3u8?dvr=28800000,
ch11,כאן 11,il,tv,https://n-121-4.il.cdn-redge.media/livehls/oil/kancdn-live/live/kan11/live.livx/playlist.m3u8?dvr=28800000,
ch12,קשת 12,il,tv,https://d1zqtf09wb8nt5.cloudfront.net/livehls/oil/freetv/live/keshet_12_hevc/live.livx/playlist.m3u8?fmp4&renditions&dvr=28800000,
ch13,רשת 13,il,tv,https://d18b0e6mopany4.cloudfront.net/out/v1/1a7c55961dec4c72b51d79e5d9216cff/index.m3u8,
ch14,עכשיו 14,il,tv,https://n-121-4.il.cdn-redge.media/livehls/oil/ch14/live/ch14/live.livx/playlist.m3u8?dvr=28800000,
ch15,i24NEWS,il,tv,https://i24newshebrew-cdn.encoders.immergo.tv/master.m3u8,
ch16,ערוץ 16,il,tv,https://ch16israel-cdn.encoders.immergo.tv/master.m3u8,
ch23,ערוץ הקומדיות,il,tv,https://d15ds134q59udk.cloudfront.net/media/3b45de9e-c944-4fdc-a344-7c3042b5b104/mainManifest.m3u8,
ch24,ערוץ 24,il,tv,https://mako-streaming.akamaized.net/direct/hls/live/2035340/ch24live/index.m3u8?hdnea=st%3D1784590730%7Eexp%3D1784591630%7Eacl%3D%2F*%7Ehmac%3Dbcaee359470040c34565d2ac5cedb3598b36fbbbc7306e13fa82e4f183874091,
ch26,האח הגדול,il,tv,https://d2xg1g9o5vns8m.cloudfront.net/out/v1/66d4ac8748ce4a9298b4e40e48d1ae2f/index.m3u8,
ch27,שמות הנופלים,il,tv,https://n-121-11.il.cdn-redge.media/livehls/oil/kancdn-live/live/popup1_noflim/live.livx/playlist.m3u8?dvr=28800000,
ch30,הלא TV,il,tv,https://gstream4.panet.co.il/edge/halaTV/playlist.m3u8,
ch33,מכאן,il,tv,https://kancdn.medonecdn.net/livehls/oil/kancdn-live/live/makan/live.livx/playlist.m3u8?dvr=28800000,
ch34,i24NEWS Arabic,il,tv,https://i24newsarabic-cdn.encoders.immergo.tv/master.m3u8,
ch35,i24NEWS English,il,tv,https://i24newsenglish-cdn.encoders.immergo.tv/master.m3u8,
ch36,i24NEWS French,il,tv,https://i24newsfrench-cdn.encoders.immergo.tv/master.m3u8,
